"","X","favorite_count","id","retweet_count","timestamp","user_follower_count","user_id","user_screen_name","true_indicator","original_tweet","polarity","subjectivity","cat_polarity"
"15",24,4,1e+18,10,"Thu May 31 16:00:00 +0000 2018",14522,394581961,"b'PublicHealthW'",1,"Routine vaccination against meningitis C was introduced in November 1999. The combined MenACWY vaccine and the MenB vaccine were introduced in 2015 #NHSCymru70 #NHS70 https://t.co/5FCg6Sp1iV",0,0,"neutral"
"16",25,7,1e+18,9,"Wed May 30 14:30:01 +0000 2018",14522,394581961,"b'PublicHealthW'",1,"Rotavirus causes sickness and diarrhoea in babies and young children #NHSCymru70 #NHS70 #vaccineswork https://t.co/x8pRObwEVV",0.1,0.4,"positive"
"17",26,6,1e+18,6,"Tue May 29 14:30:00 +0000 2018",14522,394581961,"b'PublicHealthW'",1,"Before the rubella vaccine was introduced, more than 80% of adults had evidence of previous infection #NHSCymru70 #NHS70 #vaccineswork https://t.co/de5XfIdk6c",-0.166666667,0.166666667,"negative"
"18",27,12,1e+18,12,"Mon May 28 14:30:01 +0000 2018",14522,394581961,"b'PublicHealthW'",1,"Before the introduction of the measles, mumps and rubella (MMR) vaccine in 1988, mumps caused about 1,200 hospital admissions each year in England and Wales #NHSCymru70 #NHS70 #vaccineswork https://t.co/aloGxI6FAB",0,0,"neutral"
"19",28,3,1e+18,4,"Sat May 26 14:30:01 +0000 2018",14522,394581961,"b'PublicHealthW'",1,"Before the Hib vaccine was introduced, one in every 600 children developed some form of invasive Hib disease before their fifth birthday #NHSCymru70 #NHS70 #vaccineswork https://t.co/Pab4XwgNtX",0.1,0.3,"positive"
"20",29,8,1e+18,14,"Thu May 24 23:00:00 +0000 2018",14522,394581961,"b'PublicHealthW'",1,"Before the measles vaccine was introduced, annual cases ranged between 160,000 and 800,000, with around 100 deaths each year #NHSCymru70 #NHS70 #vaccineswork https://t.co/ku22zUJtRl",0,0,"neutral"
"21",30,8,9.99e+17,9,"Wed May 23 16:00:02 +0000 2018",14522,394581961,"b'PublicHealthW'",1,"Diphtheria used to be a common fatal disease. The introduction of a national vaccine in the 1940s resulted in a dramatic fall in the number of cases and deaths #NHSCymru70 #NHS70 #vaccineswork https://t.co/eUl8antjCO",-0.366666667,0.55,"negative"
"22",31,20,9.99e+17,23,"Tue May 22 16:03:43 +0000 2018",14522,394581961,"b'PublicHealthW'",1,"This week for NHS at 70, we’ll be looking at vaccines and how cases of infectious diseases have fallen since their introduction #NHSCymru70 #NHS70 #vaccineswork

Learn more about vaccines: https://t.co/erpPsymRJs https://t.co/nVGHmmTCap",0,0,"neutral"
"23",32,7,9.95e+17,21,"Fri May 11 12:40:30 +0000 2018",14522,394581961,"b'PublicHealthW'",1,"#Measles is circulating in the UK, and it can be serious – make sure you’re up to date with #MMR vaccines before attending any festivals or events this summer! https://t.co/aZ28PL2xvv",0.083333333,0.777777778,"positive"
"24",38,28,1e+18,14,"Sun Jun 03 19:06:28 +0000 2018",296059,17442457,"b'CleClinicMD'",1,".@BrainTumorDoc discusses the immunotherapy vaccine that shows early promise for improving survival rates in patients with newly diagnosed glioblastoma. #ASCO18 https://t.co/zAqL7wXXJJ",0.118181818,0.377272727,"positive"
"25",39,25,1e+18,19,"Sun Jun 03 00:40:00 +0000 2018",296059,17442457,"b'CleClinicMD'",1,"A phase 2 trial demonstrates promising results in patients with glioblastoma who take an immunotherapy vaccine: #ASCO18 https://t.co/leNtKdkaAU",0.2,0.5,"positive"
"26",40,13,1e+18,3,"Sat Jun 02 20:29:10 +0000 2018",296059,17442457,"b'CleClinicMD'",1,"The next step will be a randomized trial of the vaccine. #ASCO18",0,0,"neutral"
"27",41,6,1e+18,3,"Sat Jun 02 20:24:03 +0000 2018",296059,17442457,"b'CleClinicMD'",1,"The vaccine (known as SurVaxM) targets survivin, a cell-survival protein present in most cancers. #ASCO18",0,0,"neutral"
"28",42,55,1e+18,17,"Sat Jun 02 20:19:49 +0000 2018",296059,17442457,"b'CleClinicMD'",1,"A phase 2 trial demonstrates promising results in patients with glioblastoma who take an immunotherapy vaccine. #ASCO18 https://t.co/RtB6bMZmyV",0.2,0.5,"positive"
"29",43,6,1e+18,6,"Fri May 25 10:45:30 +0000 2018",2732,1262320285,"b'VaccinesEurope'",1,"#WeWontRest until we can prevent infectious diseases and outbreaks around the world by our mRNA vaccines #curevac https://t.co/j2JNWdbRQA https://t.co/qkfHhWDlpl",0,0,"neutral"
"30",44,0,1e+18,3,"Thu May 24 09:12:19 +0000 2018",2732,1262320285,"b'VaccinesEurope'",1,"@CureVacAG's Kim Schmidt on mRNA vaccines of the future, in the @Europarl_EN now #WeWontRest #VaccinesWork #Innovation @EFPIA https://t.co/v08YfLrl8J",0,0.125,"neutral"
"31",45,15,9.99e+17,6,"Tue May 22 10:07:55 +0000 2018",2732,1262320285,"b'VaccinesEurope'",1,"#WeWontRest until vaccines are turned into vaccination to help people live healthy lives across all ages. @GSK #VaccinesWork #immunisation https://t.co/j2JNWdbRQA https://t.co/wET2AuXTaa",0.318181818,0.5,"positive"
"32",46,8,9.97e+17,4,"Fri May 18 08:23:19 +0000 2018",2732,1262320285,"b'VaccinesEurope'",1,"#WeWontRest until there are new vaccines against antibiotic-resistant bacteria #VaccinesWork #Immunisation @legemiddelind @pfizer https://t.co/1EmWY4M2zO https://t.co/i4vQCDRNVe",0.136363636,0.454545455,"positive"
"33",47,0,9.96e+17,4,"Tue May 15 08:04:46 +0000 2018",2732,1262320285,"b'VaccinesEurope'",1,"#WeWontRest until every infant, teen and adult is protected from vaccine-preventable diseases @pfizer #VaccinesWork https://t.co/u78iyoufzZ https://t.co/oR07T0KXDf",0.05,0.15,"positive"
"34",48,6,9.96e+17,4,"Mon May 14 10:11:08 +0000 2018",2732,1262320285,"b'VaccinesEurope'",1,"See why #WeWontRest until no one suffers or dies from a vaccine-preventable disease and we can all look forward to a #BrighterTomorrow  #VaccinesWork @GSK @sanofi @MSDInvents @pfizer https://t.co/hPl0Cb1kUD",-0.6,0.7,"negative"
"35",49,6,9.94e+17,6,"Tue May 08 15:41:36 +0000 2018",2732,1262320285,"b'VaccinesEurope'",1,"#WeWontRest until vaccination is seen as a normal consideration in living a healthy life for older adults @GSK https://t.co/j2JNWdbRQA #VaccinesWork #ImmuniseEurope https://t.co/wsjLVLBIXr",0.272222222,0.494444444,"positive"
"36",50,3,9.94e+17,2,"Tue May 08 14:41:26 +0000 2018",2732,1262320285,"b'VaccinesEurope'",1,"#WeWontRest in our enduring quest to unlock the promise and value that vaccines hold in our world @pfizer https://t.co/cpeS6BtDfh https://t.co/AnKnYw51sO",0,0,"neutral"
"37",51,20,9.9e+17,20,"Fri Apr 27 11:52:41 +0000 2018",2732,1262320285,"b'VaccinesEurope'",1,"#WeWontRest until vaccination is recognized as a critical prevention tool for all, whatever the age @MSDInvents https://t.co/1EmWY4M2zO https://t.co/L6PhhYjWp5",0,0.8,"neutral"
"38",52,9,9.89e+17,5,"Thu Apr 26 12:42:57 +0000 2018",2732,1262320285,"b'VaccinesEurope'",1,"Research is close to finding a successful vaccine against the HIV virus #WeWontRest #VaccinesWork #Vaccination #Immunisation https://t.co/j2JNWdbRQA https://t.co/GLMS1NYWho",0.75,0.95,"positive"
"39",53,6,9.89e+17,6,"Thu Apr 26 12:26:46 +0000 2018",2732,1262320285,"b'VaccinesEurope'",1,"See why vaccination during pregnancy is important in this new @VaccinesToday video. #EIW2018 #VaccinesWork https://t.co/Q2OmIr7l9h",0.268181818,0.727272727,"positive"
"40",54,0,9.89e+17,1,"Thu Apr 26 07:03:06 +0000 2018",2732,1262320285,"b'VaccinesEurope'",1,"Join the chat! #EIW2018 #VaccinesWork @VaccinesToday @vaccines4life @EFPIA https://t.co/7qcfuFjnhO",0,0,"neutral"
"41",55,0,9.89e+17,6,"Thu Apr 26 06:37:53 +0000 2018",2732,1262320285,"b'VaccinesEurope'",1,"#WeWontRest until we can prevent infectious diseases and outbreaks around the world by our mRNA vaccines #curevac https://t.co/j2JNWdbRQA https://t.co/KwxYUsnTAE",0,0,"neutral"
"42",56,6,9.89e+17,4,"Tue Apr 24 14:25:48 +0000 2018",2732,1262320285,"b'VaccinesEurope'",1,"As not all strains of #meningitis are vaccine preventable, being able to
recognise the symptoms is crucial! Learn the symptoms to mark this
year’s World Meningitis Day! #AllMeningitisMatters https://t.co/rzLYjNxcYC https://t.co/BSwJHdYpRj",0.25,0.8125,"positive"
"43",57,2,9.89e+17,2,"Tue Apr 24 12:03:09 +0000 2018",2732,1262320285,"b'VaccinesEurope'",1,"""The multistakeholder dialogue is most important"", says Pamela Logan, mentioning great increases in #flu vaccine coverage rates in Ireland when vaccines are administered by pharmacists and GPs. #EIW #VaccinesWork #EUFightingFlu #immunizeEurope https://t.co/PTfHBMFy2y",0.6,0.875,"positive"
"44",58,5,9.89e+17,5,"Tue Apr 24 08:44:57 +0000 2018",2732,1262320285,"b'VaccinesEurope'",1,"See why #WeWontRest until no one suffers or dies from a vaccine-preventable disease and we can all look forward to a #BrighterTomorrow  #VaccinesWork @GSK @sanofi @MSDInvents @pfizer #EIW2018 https://t.co/hPl0Cb1kUD",-0.6,0.7,"negative"
"45",59,5,9.89e+17,5,"Tue Apr 24 07:15:54 +0000 2018",2732,1262320285,"b'VaccinesEurope'",1,"Follow us from 12:30 and see what the European #Flu vaccination experts have to say at the #influenza #Manifesto launch event in #Brussels #EIW2018 #EUFightingFlu #VaccinesWork @EFPIA https://t.co/eDWe9YL3lK https://t.co/t12WRHvt97",0,0,"neutral"
"46",60,3,9.89e+17,4,"Tue Apr 24 06:57:09 +0000 2018",2732,1262320285,"b'VaccinesEurope'",1,"It’s World Meningitis Day! Did you know that there are several vaccines
that help protect against bacterial #meningitis? Check your country’s
vaccination schedule below. #VaccinesWork #AllMeningitisMatters #EIW2018 https://t.co/rzLYjNxcYC https://t.co/rxHBtUb4Rx",0,0,"neutral"
"47",61,0,1e+18,0,"Tue Jun 05 21:30:21 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"#DYK: Getting #vaccinated helps prevent infection with #hepatitisB virus and  chronic infection can lead to serious liver problems? https://t.co/5AiNb35UoJ via @cdchep https://t.co/XwMyDv66sZ",-0.333333333,0.666666667,"negative"
"48",62,2,1e+18,1,"Tue Jun 05 17:15:16 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"MT @pediatricskc Before you bring your tween or teen in for their summer physical, read about #HPV #vaccine from reliable resources, not your friend who heard from a friend. Stories scare people, but the science is clear-HPV vaccine is safe &amp; effective https://t.co/EOJopPAawp https://t.co/K8f4Ya4Woy",0.275,0.360714286,"positive"
"49",63,9,1e+18,9,"Mon Jun 04 21:30:23 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"#Vaccines are among the most significant achievements in #PublicHealth. Between 1924-2013, childhood vaccinations prevented more than 100 million cases of serious disease https://t.co/sTrw6Iueol https://t.co/lpC4j0TYx4",0.020833333,0.770833333,"positive"
"50",64,1,1e+18,1,"Mon Jun 04 17:45:16 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"As you make vacation plans for #July4th, ask your healthcare provider about travel #vaccines if you are traveling overseas https://t.co/GNrZqCTDjD https://t.co/cra3dC3nyz",0,0,"neutral"
"51",65,2,1e+18,2,"Sun Jun 03 22:30:13 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"Which Political Party Is Most Anti-#Vaccine? Childhood vaccination programs should be exempt from political bias https://t.co/SHUzPGDHZe via @PrecVaccProgram https://t.co/3Rmoyr4E46",0,0.1,"neutral"
"52",66,1,1e+18,3,"Sun Jun 03 13:30:18 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"#DYK  @CDCgov recommends #vaccination with meningococcal ACWY #vaccine for all preteens &amp; teens? Learn more: https://t.co/77lVQVrv4i #GetVaccinated #NoRegrets https://t.co/Glii1AYOBu",0,0,"neutral"
"53",67,3,1e+18,3,"Sat Jun 02 21:30:14 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"#ICYMI: @NIH scientists say advanced #vaccines could limit future #outbreaks https://t.co/tOgzDXu62i https://t.co/CIb2vsAWuw",0.2,0.3625,"positive"
"54",68,0,1e+18,0,"Thu May 31 21:15:16 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"@CDCgov recommends #vaccines from birth through adulthood to provide a lifetime of protection against many diseases and infections, including #hepatitis A and B https://t.co/brlgRXlbAW #HepAware https://t.co/c0HKxHQm7V",0.5,0.5,"positive"
"55",69,1,1e+18,1,"Wed May 30 22:30:20 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"#Hepatitis A outbreak infects 14 in Nashville; #vaccines advised for gay men, drug users via @Tennessean https://t.co/yksB9esyKU https://t.co/o2IaQ3CPWi",0.416666667,0.583333333,"positive"
"56",70,4,1e+18,1,"Tue May 29 23:00:46 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"Public support for #vaccines drops...a bit via @NBCNews https://t.co/1dG4epdFGC",0,0.066666667,"neutral"
"57",71,2,1e+18,0,"Mon May 28 21:00:43 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"The latest outbreak of a deadly virus has scientists racing to create a #vaccine via @qzindia https://t.co/RS8Tgz2mwl #Ebola @CEPIvaccines",0.15,0.65,"positive"
"58",72,2,1e+18,2,"Mon May 28 16:45:13 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"Here’s why your kids need the #HPV #vaccine https://t.co/wQvdki3j50 via @thephillyvoice #GetVaccinated #PreventHPV https://t.co/y2oj9qpuPV",0,0,"neutral"
"59",73,2,1e+18,0,"Thu May 24 15:45:24 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"Traveling this summer? Depending on your destination, you may need specific #vaccines before you travel. Read more: https://t.co/JLIIe9y03s #36hours https://t.co/WwYJFZ1tLa",0,0.125,"neutral"
"60",74,3,9.99e+17,3,"Tue May 22 21:45:13 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"Why we should celebrate #vaccines more often: number 1, and most importantly, vaccines save lives https://t.co/aqChnhy7Qb https://t.co/pL5ZLNmJSn",0.4,1,"positive"
"61",75,1,9.99e+17,2,"Tue May 22 16:15:22 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"As an #Ebola #outbreak threatens to spread even wider, a new #vaccine gives hope https://t.co/BEeo2rpTS1 via @FortuneMagazine https://t.co/MHebFCFWOm",0.136363636,0.454545455,"positive"
"62",76,1,9.99e+17,0,"Tue May 22 13:30:43 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"#ICYMI: In the US, almost 2 million cases of #influenza could have been averted last season if 70% got #vaccinated https://t.co/3VodrZzY7B via @GoHealio #GetVaccinated to help #FightFlu https://t.co/l3ZJSt92L6",0,0.066666667,"neutral"
"63",77,2,9.99e+17,0,"Mon May 21 21:10:08 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"Ball State University in Indiana joins many other Indiana colleges with a Meningitis B vaccine requirement for Fall 2018 #GetVaccinated via @BallStateDaily https://t.co/Jyy9Kdm5YQ https://t.co/yIl6U2zioq",0.5,0.5,"positive"
"64",78,2,9.99e+17,1,"Mon May 21 14:01:40 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"#DYK: @CDCgov recommends #HepA #vaccine for most international travelers? Before you travel, talk to your healthcare provider about getting vaccinated. #HepAware https://t.co/mtZlyX99UD https://t.co/2Zikt7Ij65",0,0,"neutral"
"65",79,3,9.99e+17,2,"Mon May 21 12:30:11 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"MT @theNCI What are human papillomaviruses (HPVs)? Fact sheet on #HPV vaccines and cancer explains: https://t.co/cEAFaHtIlO https://t.co/tulUMkgi2p 
#GetVaccinated #PreventHPV #cancerprevention https://t.co/nayeNSRojO",0,0.1,"neutral"
"66",80,16,9.98e+17,8,"Sun May 20 17:01:03 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"If you are young and healthy, getting #vaccinated can help you stay that way. Infants &amp; older adults are at greater risk for serious complications  but vaccine-preventable diseases can strike anyone https://t.co/wXTAe9FQFi #VaccinesWork https://t.co/ZyA2jOLo1u",0.186666667,0.48,"positive"
"67",81,1,9.98e+17,0,"Sat May 19 16:30:33 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"#DYK If you are young and healthy, getting #vaccinated can help you stay that way? Small changes can add up to big differences in your overall health #VaccinesWork #NWHW https://t.co/NGaANuPGgT https://t.co/YxVIjK2QWb",0.07,0.28,"positive"
"68",82,2,9.98e+17,1,"Sat May 19 16:00:34 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"Millions in the US are living with viral #hepatitis. Find out if you should be tested or #vaccinated! https://t.co/ND6zCUWCqL",0,0,"neutral"
"69",83,1,9.97e+17,0,"Thu May 17 13:01:36 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"Do your patients know chronic #hepatitis can lead to liver #cancer? Talk to them about #vaccination https://t.co/A54KhdAPW8 #HepAware https://t.co/7ZdMReNi9I",0,0,"neutral"
"70",84,4,9.96e+17,6,"Tue May 15 16:30:48 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"In the US, approximately 50,000 adults die each year from #vaccine-preventable diseases? #NWHW is your chance to let the world know you are taking control of your health! Talk to a healthcare professional about recommended #vaccines https://t.co/nfVsk9o9XG #GetVaccinated https://t.co/0B2bS1dKdG",-0.15,0.35,"negative"
"71",85,3,9.96e+17,3,"Mon May 14 21:30:22 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"#ICYMI: According to @CDCgov the new #shingles #vaccine (Shingrix®) can help protect 97% of those in their 50s and 60s and 91% of those in their 70s and 80s https://t.co/QaIpIndZWI #GetVaccinated #PreventShingles https://t.co/xPdv6qJEV0",0.136363636,0.454545455,"positive"
"72",86,3,9.96e+17,5,"Mon May 14 17:15:18 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"#HPV #vaccines prevent cervical cancer, global review confirms https://t.co/qIwmKkAafT #GetVaccinated #PreventHPV https://t.co/d6wendh3VC",0,0,"neutral"
"73",87,0,9.96e+17,1,"Sun May 13 14:01:37 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"On #MothersDay, we say a special thanks to all the moms who help keep their kids healthy through #vaccination! https://t.co/DYSVIsLmEK https://t.co/DIBTRAo7ln",0.352380952,0.423809524,"positive"
"74",88,0,9.95e+17,0,"Thu May 10 21:30:21 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"The countdown is on! Join us as we share live updates from 2018 #NFIDawards starting at 6:30 PM via @NFIDvaccines https://t.co/ZBW4LjGPsq https://t.co/9mzTLpa4fw",0.068181818,0.3,"positive"
"75",89,1,9.94e+17,0,"Tue May 08 15:45:17 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"The incredibly frustrating reason there is no #LymeDisease #vaccine https://t.co/LAv9QCXTyx via @voxdotcom #TuesdayThoughts https://t.co/sQKq8K5shY",-0.4,0.9,"negative"
"76",90,26,9.94e+17,32,"Mon May 07 16:15:47 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"#Flu #vaccination prevented estimated 5.3 million illnesses, 2.6 million influenza-associated medical visits, &amp; 85000 influenza-associated hospitalizations during 2016-2017 influenza season, according to @CDCgov report https://t.co/kZ8A3rHHxQ #GetVaccinated to help #FightFlu https://t.co/eJdwmgewgA",0,0,"neutral"
"77",91,1,9.93e+17,2,"Mon May 07 01:15:05 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"Model predicts new H3N2 #flu #vaccine component will be just as ineffective due to egg-based production methods https://t.co/vnPeu3crh4 #FightFlu https://t.co/HsuTwEiwXd",0.005681818,0.414772727,"positive"
"78",92,8,9.93e+17,8,"Sun May 06 17:00:50 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"Encourage adults with #asthma to get an annual #flu #vaccination to help keep them healthy https://t.co/eOuakdlefM #AsthmaAwarenessMonth #FightFlu https://t.co/zbIh5tENw1",0.5,0.5,"positive"
"79",93,0,9.92e+17,0,"Fri May 04 12:45:12 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"Need yellow fever #vaccine? https://t.co/pBuZaKOdC6 via @CDCgov",0,0,"neutral"
"80",94,0,9.92e+17,0,"Fri May 04 00:30:17 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"@realDonaldTrump says he's ""super interested"" in a universal #flu #vaccine. His budget says otherwise https://t.co/8FHGLdThR0 via @MotherJones https://t.co/1Gs8jTkshQ",0.194444444,0.388888889,"positive"
"81",95,1,9.92e+17,2,"Thu May 03 18:15:17 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"#Flu #vaccine, even when just 20% effective, saves tens of thousands of lives via @cnnhealth https://t.co/csFNHzsDQ7 #GetVaccinated to help #FightFlu https://t.co/bSFctkoAcx",0.6,0.8,"positive"
"82",96,2,9.92e+17,1,"Wed May 02 22:45:10 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"The #vaccine dilemma: how experts weigh benefits for many against risks for a few https://t.co/VPVXA2Xz3f via @statnews @HelenBranswell https://t.co/KS94NA2XPc",0.5,0.5,"positive"
"83",97,1,9.92e+17,0,"Wed May 02 21:30:23 +0000 2018",5472,247351807,"b'NFIDvaccines'",1,"@BillGates to donate $12 million to fund research for universal #flu #vaccine via @abcnews https://t.co/tE7r0ihG41 https://t.co/zy42Y3lTbv",0,0,"neutral"
"84",98,6,1e+18,1,"Thu May 31 18:17:54 +0000 2018",6609,87017466,"b'HepBFoundation'",1,"A2 In the U.S., only about 64% of infants receive the HBV vaccine within 1 day of birth (though about 72% receive it within the first 3 days). This varies from state to state.  #CDAFChat",0.25,0.333333333,"positive"
"85",99,13,9.99e+17,11,"Wed May 23 18:47:33 +0000 2018",6609,87017466,"b'HepBFoundation'",1,"A9: #Hepatitis B is a vaccine preventable disease. Talk to your doctor about your risk and whether you should be tested or vaccinated for #HBV. #hepchat https://t.co/sJniURSidj",0,0,"neutral"
"86",100,3,9.99e+17,3,"Wed May 23 18:46:30 +0000 2018",6609,87017466,"b'HepBFoundation'",1,"The #hepatitis A vaccine is recommended for those living with chronic #HBV. #hepchat https://t.co/ioXMidmEgs",0,0,"neutral"
"87",101,3,9.98e+17,0,"Sat May 19 16:00:58 +0000 2018",6609,87017466,"b'HepBFoundation'",1,"Millions in the US are living with viral hepatitis. Find out if you should be tested or vaccinated for #hepatitisB! https://t.co/LFensFHCHd",0,0,"neutral"
"88",102,0,1e+18,1,"Tue Jun 05 18:07:42 +0000 2018",1076274,146569971,"b'CDCgov'",1,"@metamas_ HPV vaccine is also recommended for men with weakened immune systems and men who have sex with men or who intend to have sex with men through age 26. https://t.co/b69cu44mc9",0,0,"neutral"
"89",103,0,1e+18,1,"Tue Jun 05 18:06:20 +0000 2018",1076274,146569971,"b'CDCgov'",1,"@metamas_ CDC recommends HPV vaccine for boys and girls at ages 11-12 for best protection. HPV vaccine is recommended for boys and young men through age 21, if they did not get vaccinated when they were younger.",0.366666667,0.233333333,"positive"
"90",104,46,1e+18,43,"Tue Jun 05 16:00:58 +0000 2018",1076274,146569971,"b'CDCgov'",1,"Thanks to the #DTaP vaccine, there are less than 20 deaths a year from #whoopingcough, but outbreaks still occur. Learn the importance of protecting your baby from this infection: https://t.co/zVIE5lTkEo. https://t.co/tOKl5aCEG7",0.016666667,0.133333333,"positive"
